,log_realized_volatility
1987-08-31,-3.1689400389363187
1987-09-30,-2.9909650658349376
1987-10-31,-1.2543188032019443
1987-11-30,-2.489326627524044
1987-12-31,-2.4920558916785613
1988-01-31,-2.3323267255578357
1988-02-29,-3.120546225391249
1988-03-31,-3.1944159974378676
1988-04-30,-2.8237741714562885
1988-05-31,-2.99064463163801
1988-06-30,-3.027513589604503
1988-07-31,-3.1323163986969114
1988-08-31,-3.2862724368276846
1988-09-30,-3.3718149075607826
1988-10-31,-3.213152467653184
1988-11-30,-3.2993673164314044
1988-12-31,-3.6900018580380585
1989-01-31,-3.4760591319136487
1989-02-28,-3.368325117724935
1989-03-31,-3.3249536179540646
1989-04-30,-3.4813398198700356
1989-05-31,-3.4239243142519395
1989-06-30,-3.274299901076747
1989-07-31,-3.4489786652171146
1989-08-31,-3.295289279136077
1989-09-30,-3.751809508135756
1989-10-31,-2.5717827530599657
1989-11-30,-3.5373503512440063
1989-12-31,-3.488725487454285
1990-01-31,-2.9182628665232206
1990-02-28,-3.449987850601402
1990-03-31,-3.4397649722891037
1990-04-30,-3.469363682270153
1990-05-31,-3.3068475477802957
1990-06-30,-3.301701092433896
1990-07-31,-3.321308385336174
1990-08-31,-2.567456261521182
1990-09-30,-3.107379519372654
1990-10-31,-2.7040882369518746
1990-11-30,-3.011263613494124
1990-12-31,-3.571268598870245
1991-01-31,-2.881000937948437
1991-02-28,-3.015432082416089
1991-03-31,-3.2989852257688224
1991-04-30,-3.091341488223916
1991-05-31,-3.222562808759487
1991-06-30,-3.3677127932687934
1991-07-31,-3.4075129991886266
1991-08-31,-3.101590553261469
1991-09-30,-3.8240380823200577
1991-10-31,-3.3966420842712814
1991-11-30,-3.082441934171034
1991-12-31,-3.1037978956797536
1992-01-31,-3.523370948026475
1992-02-29,-3.5002957803659425
1992-03-31,-3.82948976606589
1992-04-30,-3.2007046132022343
1992-05-31,-3.6407202208012586
1992-06-30,-3.5943505831298914
1992-07-31,-3.5107674589891764
1992-08-31,-3.9494751067100653
1992-09-30,-3.5215716155161227
1992-10-31,-3.481746314081465
1992-11-30,-3.7944691765074157
1992-12-31,-3.83320520582516
1993-01-31,-3.980998164618454
1993-02-28,-3.380869617058072
1993-03-31,-3.455977414948324
1993-04-30,-3.4488521300889285
1993-05-31,-3.5564559214720637
1993-06-30,-3.7315327102735236
1993-07-31,-3.7023014124287763
1993-08-31,-4.090398068166424
1993-09-30,-3.8314281738070255
1993-10-31,-4.036115437812761
1993-11-30,-3.7269719984232985
1993-12-31,-4.109871356852518
1994-01-31,-3.8864100631744125
1994-02-28,-3.433896469471771
1994-03-31,-3.505634071405016
1994-04-30,-3.298720493185182
1994-05-31,-3.597182512377383
1994-06-30,-3.564491752113399
1994-07-31,-4.01471696163539
1994-08-31,-3.747813582366204
1994-09-30,-3.561281427894718
1994-10-31,-3.3824061762059605
1994-11-30,-3.538724200172639
1994-12-31,-3.628195541952271
1995-01-31,-4.075796325414653
1995-02-28,-3.8383498640395466
1995-03-31,-3.8200410057516883
1995-04-30,-4.13546899869903
1995-05-31,-3.45115420919402
1995-06-30,-3.6366039900584517
1995-07-31,-3.583415964063745
1995-08-31,-4.243028769191813
1995-09-30,-3.938490358881236
1995-10-31,-3.8125023577448567
1995-11-30,-3.7589245658214274
1995-12-31,-3.551270298579951
1996-01-31,-3.290732173257441
1996-02-29,-3.336562179654715
1996-03-31,-3.1699778731710526
1996-04-30,-3.4607626891156853
1996-05-31,-3.394992190238016
1996-06-30,-3.9195683733371944
1996-07-31,-3.019444505973428
1996-08-31,-3.4005103537784227
1996-09-30,-3.6458299608030784
1996-10-31,-3.7069127983840042
1996-11-30,-3.6345152552664124
1996-12-31,-3.185392056707818
1997-01-31,-3.303447354969991
1997-02-28,-3.2609902464444933
1997-03-31,-3.1014183806481874
1997-04-30,-2.905513083076491
1997-05-31,-3.108917358237769
1997-06-30,-3.11567956836083
1997-07-31,-3.108404730970603
1997-08-31,-2.9979989402542384
1997-09-30,-2.9805233450013167
1997-10-31,-2.3238652771202104
1997-11-30,-2.9677794244666234
1997-12-31,-3.0514972683227777
1998-01-31,-2.9988098774931724
1998-02-28,-3.4342451514940397
1998-03-31,-3.3950363195710853
1998-04-30,-3.213405199618378
1998-05-31,-3.473595749393068
1998-06-30,-3.0846318707880536
1998-07-31,-3.0497952329188918
1998-08-31,-2.314262503723685
1998-09-30,-2.3129763371118237
1998-10-31,-2.638868495322673
1998-11-30,-3.1231521925257173
1998-12-31,-2.861458148768764
1999-01-31,-2.8546598491125996
1999-02-28,-2.8306547199882983
1999-03-31,-2.8717218927726718
1999-04-30,-2.9550032409961746
1999-05-31,-2.887577066408102
1999-06-30,-3.019101262588309
1999-07-31,-3.210150968585418
1999-08-31,-2.9534789867089692
1999-09-30,-2.9564823177564232
1999-10-31,-2.665545037690063
1999-11-30,-3.3039253672881657
1999-12-31,-3.3886651528904435
2000-01-31,-2.6226733886036615
2000-02-29,-2.897488125745266
2000-03-31,-2.5146977651301303
2000-04-30,-2.4094082379010313
2000-05-31,-2.6326446322660946
2000-06-30,-3.0278251725128413
2000-07-31,-3.088181553822785
2000-08-31,-3.438073668437876
2000-09-30,-3.2193963619434802
2000-10-31,-2.5991038256087786
2000-11-30,-2.856818877598984
2000-12-31,-2.622696626640191
2001-01-31,-2.664225690247018
2001-02-28,-2.9853721170174463
2001-03-31,-2.462501150398544
2001-04-30,-2.459030693452129
2001-05-31,-2.9922247396924284
2001-06-30,-3.246919804266744
2001-07-31,-2.9201817277563444
2001-08-31,-3.0514884107311104
2001-09-30,-2.4611074485824003
2001-10-31,-2.865267366339262
2001-11-30,-3.0669535317160372
2001-12-31,-3.1617731076036564
